INSTITUTO NOVA CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	ANGIOLOGIA E CIRURGIA VASCULAR	CAMPINAS	Prata QC	RUA ORLANDO FAGNANI 488	NOVA CAMPINAS	13092054		CRM-SP 100435
ANGIOSAFE	CONSULTORIOS - CLINICAS - TERAPIAS	ANGIOLOGIA E CIRURGIA VASCULAR	CAMPINAS	Prata QC	RUA ORLANDO FAGNANI 488	NOVA CAMPINAS	13092054	19-21173330;19-21173333;	CRM-ES 126650
ASM - HOSPITAL MADRE THEODORA CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	RUA JOSE GERALDO CEREBINO CHRISTOFARO 175	PARQUE RURAL FAZENDA SANTA CANDIDA	13087567	19-30032704;	CRM-SP 84458
ASM - UNIDADE AVANCADA MADRE THEODORA	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	AVENIDA DOUTOR MORAES SALLES 2371	NOVA CAMPINAS	13092111	19-30032704;	CRM-SP 930040
MULTI CLINICAS	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	RUA SANTA BARBARA D'OESTE 624	JARDIM NOVO CAMPOS ELISEOS	13050542	19-32275711;	
ANA RACHEL DE ALMEIDA E SILVA LIMA ZOLLNER	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	AVENIDA ALBINO JOSE BARBOSA DE OLIVEIRA 856	JARDIM SANTA GENEBRA	13084008	19-33678600;	CRM-SP 124579
CAMPCOR	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	RUA JOSE PAULINO 1244	CENTRO	13013001	19-32333776;19-32352830;	
CARDIOCAMP DIAGCAMP	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	AVENIDA ANDRADE NEVES 707	CENTRO	13013161	19-32310909;	
CARDIOCENTER	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	RUA BERNARDO JOSE SAMPAIO 339	JARDIM GUANABARA	13020440	19-32531112;19-32332312;19-93233231;	
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
CEC BARAO CLIN ESPECIALIZADA EM CARDIOLO	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	AVENIDA ALBINO JOSE BARBOSA DE OLIVEIRA 856	BARAO GERALDO	13084008		CRM-SP 970761
CENTRO DE RITMOLOGIA CARDIO DE CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	CAMPINAS	Prata QC	RUA SEBASTIAO DE SOUZA 205	BOTAFOGO	13013173	19-37398890;	
