ASM - UNIDADE AVANCADA MADRE THEODORA	CONSULTORIOS - CLINICAS - TERAPIAS	ANGIOLOGIA E CIRURGIA VASCULAR	AVENIDA DOUTOR MORAES SALLES 2371	NOVA CAMPINAS	13092111	19-30032704;	CRM-SP 930040
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	ANGIOLOGIA E CIRURGIA VASCULAR	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
ANGIOSAFE	CONSULTORIOS - CLINICAS - TERAPIAS	ANGIOLOGIA E CIRURGIA VASCULAR	RUA BERNARDINO DE CAMPOS 804	CENTRO	13010151	19-32942864;19-984359850;	CRM-ES 126650
ASM - HOSPITAL MADRE THEODORA CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	RUA JOSE GERALDO CEREBINO CHRISTOFARO 175	PARQUE RURAL FAZENDA SANTA CANDIDA	13087567	19-30032704;	CRM-SP 84458
ASM - UNIDADE AVANCADA MADRE THEODORA	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	AVENIDA DOUTOR MORAES SALLES 2371	NOVA CAMPINAS	13092111	19-30032704;	CRM-SP 930040
CARDIOCAMP DIAGCAMP	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	AVENIDA ANDRADE NEVES 707	CENTRO	13013161	19-32310909;	
CASA DE SAUDE	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	PRAÇA DOUTOR TOFFOLI 28	CENTRO	13015240	19-37363400;	CRM-SP 149367
CENTRO DE RITMOLOGIA CARDIO DE CAMPINAS	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	RUA SEBASTIAO DE SOUZA 205	BOTAFOGO	13013173	19-37398890;	
CLINICA LIBERMAN	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	AVENIDA ANDRADE NEVES 699	CENTRO	13013161	19-32324811;19-32324811;	
CLINICA MANNINA	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	RUA AMELIA BUENO 159	TAQUARAL	13076050	19-33052632;19-989219616;19-994294222;	
CLINICA MEDICA CARVALHO & NASSER	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	RUA LUIZ SPIANDORELLI NETO 30	LOTEAMENTO PAIQUERE	13271570	19-38712540;19-38497634;19-38716457;	
CLINICA MEDICA MEDEIROS	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	RUA FREI ANTONIO DE PADUA 1263	JARDIM GUANABARA	13073330	19-32435917;19-32038272;19-998246994;	
DIAGNOSTICO CARDIOLOGICO	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	RUA DUQUE DE CAXIAS 780	CENTRO	13015311	19-37435000;19-981343576;19-21218481;19-32322616;	CRM-SP 54089
MARCELO PRADO FORTUNA GERIN	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA	RUA BARRETO LEME 1865	CAMBUI	13025085	19-32520222;19-32522212;	CRM-SP 136028
CENTRO DE DESOSPITALIZACAO HUMANA - VIVER	CONSULTORIOS - CLINICAS - TERAPIAS	CARDIOLOGIA PEDIATRICA	RUA CAMARGO PAES 776	JARDIM GUANABARA	13073350	19-25116989;19-25126989;	CRM-SP 51466
